0.000000000000000000e+00 1.131988324175149601e-06 2.002416595962587554e-06 -2.934205917111425040e-06 3.788185226981097493e-06 -4.604956726280658330e-06 5.226966410782477191e-06 -5.271959775203864708e-06
1.001001001001000992e-02 2.270679389658135503e-06 4.016399210495823956e-06 -5.884973229344646445e-06 7.597331986483703956e-06 -9.234968873051955886e-06 1.048196741931525830e-05 -1.057187669460419697e-05
2.002002002002001985e-02 3.422718081660981856e-06 6.053408142077409947e-06 -8.868704012859831662e-06 1.144819145268357067e-05 -1.391483149705458743e-05 1.579273772286563871e-05 -1.592740203114536231e-05
3.003003003003002977e-02 4.594729740131529943e-06 8.124862374981621412e-06 -1.190173107762080134e-05 1.536141608159978509e-05 -1.866921042370661365e-05 2.118685668476637970e-05 -2.136602367119843279e-05
4.004004004004003969e-02 5.793357212830030973e-06 1.024220182035167473e-05 -1.500040484490593962e-05 1.935766721537401962e-05 -2.352276849764456230e-05 2.669188737416594088e-05 -2.691520304412728349e-05
5.005005005005004615e-02 7.025296901781040588e-06 1.241694773175710611e-05 -1.818117757069243783e-05 2.345771923467276099e-05 -2.850028764498824707e-05 3.233551087548057896e-05 -3.260250729614526041e-05
6.006006006006005954e-02 8.297334007036958974e-06 1.466076167518093670e-05 -2.146068538285226667e-05 2.768256085062493832e-05 -3.362678744030738978e-05 3.814565657803419848e-05 -3.845573738799398501e-05
7.007007007007007293e-02 9.616377140203336647e-06 1.698550333023834602e-05 -2.485582856953249222e-05 3.205349407729108312e-05 -3.892764076739835109e-05 4.415062914550567418e-05 -4.450305279610484012e-05
8.008008008008007939e-02 1.098949253207374269e-05 1.940328747581516311e-05 -2.838385052657106680e-05 3.659223137815402043e-05 -4.442868717674501334e-05 5.037923275450657270e-05 -5.077309340754491285e-05
9.009009009009008584e-02 1.242393797391737582e-05 2.192654040694458941e-05 -3.206241576425201164e-05 4.132099145262516912e-05 -5.015634445917850539e-05 5.686089321551624133e-05 -5.729509919747354484e-05
1.001001001001000923e-01 1.392719667120451328e-05 2.456805605685360606e-05 -3.590968731328579176e-05 4.626259408303124164e-05 -5.613771893095004511e-05 6.362577849110621615e-05 -6.409902817943771670e-05
1.101101101101101126e-01 1.550701115725160485e-05 2.734105206882624510e-05 -3.994440387027883626e-05 5.144055445319169450e-05 -6.240071489850977410e-05 7.070491811392300120e-05 -7.121567312258177736e-05
1.201201201201201191e-01 1.717141741690666164e-05 3.025922606330031479e-05 -4.418595699760696505e-05 5.687917733763801851e-05 -6.897414372902974328e-05 7.813032197348732653e-05 -7.867677749633809404e-05
1.301301301301301394e-01 1.892877936144092546e-05 3.333681231593486834e-05 -4.865446869923271706e-05 6.260365147376378023e-05 -7.588783294703079364e-05 8.593509890998119458e-05 -8.651515106286509192e-05
1.401401401401401459e-01 2.078782378972883463e-05 3.658863908076032654e-05 -5.337086961256189068e-05 6.864014450637932231e-05 -8.317273571736082225e-05 9.415357551897394009e-05 -9.476478549426358940e-05
1.501501501501501523e-01 2.275767596486160221e-05 4.003018672186801018e-05 -5.835697813356193419e-05 7.501589878103921683e-05 -9.086104109142989689e-05 1.028214155470190329e-04 -1.034609703841405569e-04
1.601601601601601588e-01 2.484789591498193643e-05 4.367764687453665174e-05 -6.363558069403343648e-05 8.175932830097222418e-05 -9.898628533066942828e-05 1.119757402199717412e-04 -1.126404099971769617e-04
1.701701701701701652e-01 2.706851560408521699e-05 4.754798282895012558e-05 -6.923051343450487233e-05 8.890011713141457255e-05 -1.075834646365511204e-04 1.216552498637680493e-04 -1.223413410630311835e-04
1.801801801801801717e-01 2.943007706063754210e-05 5.165899130402589823e-05 -7.516674554088781954e-05 9.646931951152616495e-05 -1.166891495912622360e-04 1.319003470969885557e-04 -1.326036519149018805e-04
1.901901901901901781e-01 3.194367161547094237e-05 5.602936578129496435e-05 -8.147046441884432818e-05 1.044994619336978530e-04 -1.263416015655992027e-04 1.427532619111180040e-04 -1.434690032547323853e-04
2.002002002002001846e-01 3.462098029264502267e-05 6.067876156118979955e-05 -8.816916294874325966e-05 1.130246474407449990e-04 -1.365808913815319244e-04 1.542581789058618312e-04 -1.549809507905423910e-04
2.102102102102102188e-01 3.747431553794118109e-05 6.562786273215105953e-05 -9.529172901612294731e-05 1.220806623550405219e-04 -1.474490204609642122e-04 1.664613669341516737e-04 -1.671850699895977824e-04
2.202202202202202252e-01 4.051666433228280498e-05 7.089845117138539213e-05 -1.028685375181529041e-04 1.317050856719771896e-04 -1.589900447174397060e-04 1.794113113971352170e-04 -1.801290831694922446e-04
2.302302302302302317e-01 4.376173282673159938e-05 7.651347775868213446e-05 -1.109315450290765436e-04 1.419374013150396781e-04 -1.712502013922468345e-04 1.931588494121786110e-04 -1.938629891326698628e-04
2.402402402402402382e-01 4.722399258719560785e-05 8.249713594358256937e-05 -1.195143873009778501e-04 1.528191134647332162e-04 -1.842780390528838514e-04 2.077573080678742534e-04 -2.084391955372324437e-04
2.502502502502502724e-01 5.091872855056646987e-05 8.887493780375463196e-05 -1.286524797950945652e-04 1.643938651505201358e-04 -1.981245509548966845e-04 2.232626459528018318e-04 -2.239126541708753404e-04
2.602602602602602788e-01 5.486208877729041426e-05 9.567379273544903838e-05 -1.383831213858917417e-04 1.767075602642472821e-04 -2.128433119497057536e-04 2.397335981510276541e-04 -2.403409992936697776e-04
2.702702702702702853e-01 5.907113613422009148e-05 1.029220889310105742e-04 -1.487456014260824520e-04 1.898084891963356985e-04 -2.284906191068053754e-04 2.572318248605865907e-04 -2.577846892010840583e-04
